PID,ArrivalTime,BurstTime,Priority,CPUUsage,BatteryImpact,TemperatureImpact,ForegroundTask
1,0,10,8,90,95,80,1
2,2,5,3,30,20,25,0
3,4,12,7,50,40,35,1
4,5,8,5,20,15,20,0
5,7,15,9,80,85,75,0
6,9,4,2,15,20,18,1
7,11,20,6,65,70,60,0
8,13,7,4,35,30,32,1
9,15,18,10,95,90,88,0
10,16,3,1,10,12,15,1
11,18,11,5,45,50,42,0
12,20,14,8,72,65,70,1
13,22,6,3,28,25,30,0
14,24,9,7,55,45,50,1
15,26,16,9,88,92,85,0
16,28,5,2,22,18,20,1
17,30,13,6,60,62,58,0
18,32,8,4,40,35,38,1
19,34,19,10,98,96,92,0
20,36,4,1,12,15,14,1
21,38,10,5,48,44,46,0
22,40,12,8,75,68,72,1
23,42,7,3,32,28,31,0
24,44,15,7,58,52,55,1
25,46,20,9,82,86,78,0
26,48,3,2,18,16,19,1
27,50,11,6,63,60,65,0
28,52,6,4,38,33,36,1
29,54,17,10,93,91,89,0
30,56,5,1,14,13,17,1
31,58,9,5,46,48,44,0
32,60,14,8,70,73,69,1
33,62,8,3,26,24,29,0
34,64,13,7,52,47,53,1
35,66,18,9,85,88,82,0
36,68,4,2,16,19,16,1
37,70,12,6,67,64,61,0
38,72,7,4,36,31,34,1
39,74,16,10,97,94,90,0
40,76,3,1,11,14,13,1
41,78,10,5,43,46,41,0
42,80,15,8,77,71,74,1
43,82,6,3,29,27,26,0
44,84,9,7,57,49,51,1
45,86,19,9,89,87,84,0
46,88,5,2,21,17,22,1
47,90,13,6,61,59,63,0
48,92,8,4,34,32,37,1
49,96,17,10,92,93,87,0
50,100,4,1,13,11,16,1
